IP,Q3.7,air.content,recycling.content,V10,air.content.coder2,recycling.content.coder2
192.115.139.253,,0,0,1,,
37.26.146.169,אשפה,0,0,1,,
79.183.6.51,,0,0,1,,
62.219.120.109,,0,0,1,,
62.219.54.250,,0,0,1,,
82.81.94.108,"כבישים, מחזור",0,1,1,,
82.81.209.22,חוסר במקומות עם עצים שיתנו מעט אויר,0,0,1,,
37.142.162.208,,0,0,1,,
79.180.162.190,זבל ברחובות,0,0,1,,
132.70.66.9,,0,0,1,,
37.142.163.196,פקקים ,0,0,1,,
176.12.206.85,,0,0,1,,
192.114.23.208,מחזור,0,1,1,,
79.182.69.73,,0,0,1,,
141.226.88.60,,0,0,1,,
2.53.49.120,מיחזור ואשפה,0,1,1,,
141.226.179.212,ניקוז מי גשמים,0,0,1,,
207.232.18.234,,0,0,1,,
2.53.38.15,אין בעיה,0,0,1,,
212.179.121.186,,0,0,1,,
37.26.148.215,,0,0,1,,
84.94.161.133,,0,0,1,,
37.26.146.145,,0,0,1,,
89.237.70.252,,0,0,1,,
37.26.148.165,,0,0,1,,
81.218.44.10,ניקיון,0,0,1,,
109.66.88.124,,0,0,1,,
212.117.136.6,חומרים מסוכנים הנפלטים באזור תעשיה סגולה,0,0,1,,
37.26.146.228,,0,0,1,,
80.178.120.43,,0,0,1,,
77.125.142.212,,0,0,1,,
79.178.96.162,לאניודעת להגדיר את הבעיות ,0,0,1,,
195.192.229.19,זיהום אוויר,1,0,1,,
176.12.156.197,גלילי כלבים ,0,0,1,,
185.120.124.57,,0,0,1,,
5.29.220.80,,0,0,1,,
82.166.146.115,מפעלים,0,0,1,,
46.121.196.142,חוסר מודעות עצמי לאיכות הסביבה ,0,0,1,,
81.218.184.195,,0,0,1,,
2.55.61.40,יתושים / ,0,0,1,,
207.232.54.192,תל אביב,0,0,1,,
84.108.10.189,פשע,0,0,1,,
2.53.133.136,,0,0,1,,
217.132.19.219,"אוטובוסים לא נגישים מספיק. תחנות רחוקות, לוחות זמנים בעייתיים, קשה להגיע למגוון מקומות במהירות.",0,0,1,,
2.53.62.184,,0,0,1,,
2.55.155.68,כל החנויות בתשלום.,0,0,1,,
79.180.57.34,העירייה,0,0,1,,
212.143.222.99,,0,0,1,,
2.55.177.99,,0,0,1,,
2.53.26.19,זיהום אוויר,1,0,1,,
82.81.137.198,"זיהום אוויר מאזור תעשיה בסמוך למקום מגורים,ןמתנועת כלי תחבורה מסיבית בשכונה. בנוסף חום ים ממוסחר ",1,0,1,,
79.181.31.42,,0,0,1,,
37.142.3.212,,0,0,1,,
132.71.163.179,,0,0,1,,
46.19.86.156,חיסול אזורים ירוקים טבעיים לטובת בניה מאסיבית.,0,0,1,,
77.125.88.179,,0,0,1,,
84.109.233.163,,0,0,1,,
79.179.141.118,,0,0,1,,
37.26.148.244,,0,0,1,,
82.81.162.130,,0,0,1,,
80.246.135.51,חוסר שטחים ירוקים,0,0,1,,
46.135.77.196,,0,0,1,,
31.168.88.160,"בעיה חמורה נוכח הקירבה לבז""ן",1,0,1,,
185.149.255.214,,0,0,1,,
84.108.84.179,ארנונה,0,0,1,0,0
132.75.176.2,זיעום אוויר,1,0,1,1,0
176.12.210.53,זיהום אוויר,1,0,1,1,0
81.218.117.167,,0,0,1,,
132.74.177.65,,0,0,1,,
217.132.162.176,,0,0,1,,
109.66.124.181,כמויות זבל / יותר מדי מכוניות פר בית אב,0,0,1,0,0
141.226.232.43,,0,0,1,,
176.12.143.132,,0,0,1,,
62.90.131.122,"הקומפוסט בעכו, נעמן, המפעלים של עכו, איזור התעשיה של חיפה, בתי זיקוק - להמשיך ? ",1,0,1,1,0
212.76.106.141,שכונות מסויימות / ,0,0,1,0,0
192.118.30.102,פ,0,0,1,0,0
46.120.143.185,תאונות דרכים,0,0,1,0,0
77.138.83.31,,0,0,1,,
46.19.85.236,הצמיחה ,0,0,1,0,0
87.69.42.192,בתי זיקוק,1,0,1,1,0
212.199.57.202,לא חושב שיש בעיה,0,0,1,0,0
2.53.161.117,פינוי אשפה ופסולת  גנים ציבוריים,0,0,1,0,0
93.173.6.98,,0,0,1,,
80.179.96.58,אין לי מושג,0,0,1,,
5.29.115.10,,0,0,1,,
2.53.170.164,תשתיות מגורים ,0,0,1,0,0
2.55.12.221,,0,0,1,,
31.168.151.50,"ניקוין בעיר, חנויות, הרבה עובדים זרים יושבים על הספסלים ביום ובלילה במרכז העיר נורא מפחיד...",0,0,1,0,0
46.19.86.183,זיהום אויר ואסדות הגז,1,0,1,1,0
46.19.86.14,בינונית,0,0,1,0,0
77.126.10.163,,0,0,1,,
80.179.6.49,צריך יותר פחי זבל ניקוז יותר טוב ברחובות ויותר מרומות חניה,0,0,1,0,0
2.53.179.169,"צפיפות הרחובות, מדרכות צרות שלא נגישות לנשים עם עגלות. יש לציין כי בסביבת מגורינו יש גנים רבים",0,0,1,0,0
2.53.57.61,,0,0,1,,
77.126.212.99,זיהום המפעלים באזור. שפכים שנשפכים לים. זיהום מכלי תחבורה הרבים כי התחבורה הציבורית לא מתפקדת,1,0,1,1,0
213.57.105.16,זיהום מהתעשייה ובתי הזיקוק,1,0,1,1,0
46.19.86.41,,0,0,1,,
199.203.215.1,,0,0,1,,
193.43.245.250,"תחבורה , תשתיות ",0,0,1,0,0
2.53.63.47,,0,0,1,,
185.120.125.16,,0,0,1,,
81.218.145.219,,0,0,1,,
194.8.88.10,חוסר מודעות לסביבה,0,0,1,0,0
141.226.88.162,מה,0,0,1,,
194.90.73.231,,0,0,1,,
